[chain] waiting for phase-1 inventory to complete (Fri Jul 24 02:54:34 WEST 2026)
[chain] inventory complete: 9861 charts. unique images:
charts inventoried : 9861 (9826 ok)
unique images      : 8397
[chain] launching phase-2 CVE scan (Fri Jul 24 03:50:16 WEST 2026)
cve: 8397 unique images, 0 done, 8397 to scan (6 workers)
  5320/8397 (5171/h, ETA 0.6h)
  5330/8397 (5175/h, ETA 0.6h)
  5340/8397 (5177/h, ETA 0.6h)
  5350/8397 (5172/h, ETA 0.6h)
  5360/8397 (5168/h, ETA 0.6h)
  5370/8397 (5174/h, ETA 0.6h)
  5380/8397 (5173/h, ETA 0.6h)
  5390/8397 (5170/h, ETA 0.6h)
  5400/8397 (5170/h, ETA 0.6h)
  5410/8397 (5170/h, ETA 0.6h)
  5420/8397 (5166/h, ETA 0.6h)
  5430/8397 (5169/h, ETA 0.6h)
  5440/8397 (5167/h, ETA 0.6h)
  5450/8397 (5171/h, ETA 0.6h)
  5460/8397 (5172/h, ETA 0.6h)
  5470/8397 (5173/h, ETA 0.6h)
  5480/8397 (5169/h, ETA 0.6h)
  5490/8397 (5171/h, ETA 0.6h)
  5500/8397 (5170/h, ETA 0.6h)
  5510/8397 (5166/h, ETA 0.6h)
  5520/8397 (5167/h, ETA 0.6h)
  5530/8397 (5170/h, ETA 0.6h)
  5540/8397 (5169/h, ETA 0.6h)
  5550/8397 (5169/h, ETA 0.6h)
  5560/8397 (5166/h, ETA 0.5h)
  5570/8397 (5166/h, ETA 0.5h)
  5580/8397 (5168/h, ETA 0.5h)
  5590/8397 (5169/h, ETA 0.5h)
  5600/8397 (5170/h, ETA 0.5h)
  5610/8397 (5168/h, ETA 0.5h)
  5620/8397 (5171/h, ETA 0.5h)
  5630/8397 (5168/h, ETA 0.5h)
  5640/8397 (5166/h, ETA 0.5h)
  5650/8397 (5166/h, ETA 0.5h)
  5660/8397 (5169/h, ETA 0.5h)
  5670/8397 (5167/h, ETA 0.5h)
  5680/8397 (5167/h, ETA 0.5h)
  5690/8397 (5171/h, ETA 0.5h)
  5700/8397 (5166/h, ETA 0.5h)
  5710/8397 (5173/h, ETA 0.5h)
  5720/8397 (5174/h, ETA 0.5h)
  5730/8397 (5173/h, ETA 0.5h)
  5740/8397 (5171/h, ETA 0.5h)
  5750/8397 (5174/h, ETA 0.5h)
  5760/8397 (5170/h, ETA 0.5h)
  5770/8397 (5166/h, ETA 0.5h)
  5780/8397 (5165/h, ETA 0.5h)
  5790/8397 (5166/h, ETA 0.5h)
  5800/8397 (5166/h, ETA 0.5h)
  5810/8397 (5164/h, ETA 0.5h)
  5820/8397 (5164/h, ETA 0.5h)
  5830/8397 (5164/h, ETA 0.5h)
  5840/8397 (5165/h, ETA 0.5h)
