repo_url,repo_name,chart_path,error
https://github.com/joctan-tec/2023-02-2021069671-IC4302,joctan-tec/2023-02-2021069671-IC4302,D:\helm_clones_github\joctan-tec__2023-02-2021069671-IC4302\TareaCorta1\HelmCharts\databases,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/lorenzofratini1998/moneyverse,lorenzofratini1998/moneyverse,D:\helm_clones_github\lorenzofratini1998__moneyverse\moneyverse-infrastructure\moneyverse-chart\apps\clickhouse,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/matic-insurance/helm-charts,matic-insurance/helm-charts,D:\helm_clones_github\matic-insurance__helm-charts\ops\workbench\app-deployment,"Saving 5 charts
Save error occurred:  can't get a valid version for dependency application-component
Error: can't get a valid version for dependency application-component"
https://github.com/neuroxhq/helm-chart-neurox-workload,neuroxhq/helm-chart-neurox-workload,D:\helm_clones_github\neuroxhq__helm-chart-neurox-workload,"Saving 2 charts
Downloading neurox-workload-agent from repo oci://ghcr.io/neuroxhq/helm-charts
Save error occurred:  could not download oci://ghcr.io/neuroxhq/helm-charts/neurox-workload-agent: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/neuroxhq/helm-charts/neurox-workload-agent/manifests/2.10.2"": GET ""https://ghcr.io/token?scope=repository%3Aneuroxhq%2Fhelm-charts%2Fneurox-workload-agent%3Apull&service=ghcr.io"": response status code 401: unauthorized: authentication required
Error: could not download oci://ghcr.io/neuroxhq/helm-charts/neurox-workload-agent: failed to perform ""FetchReference"" on source: GET ""https://ghcr.io/v2/neuroxhq/helm-charts/neurox-workload-agent/manifests/2.10.2"": GET ""https://ghcr.io/token?scope=repository%3Aneuroxhq%2Fhelm-charts%2Fneurox-workload-agent%3Apull&service=ghcr.io"": response status code 401: unauthorized: authentication required"
https://github.com/osherlevi7/dev,osherlevi7/dev,D:\helm_clones_github\osherlevi7__dev\dev-tools\helm-tools\litmus,Error: no repository definition for https://raw.githubusercontent.com/bitnami/charts/archive-full-index/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/piliphulko/marketplace-example,piliphulko/marketplace-example,D:\helm_clones_github\piliphulko__marketplace-example\k8s\cores-api,Error: error unpacking subchart Makefile in core-api: Chart.yaml file is missing
https://github.com/roman009/go-rust,roman009/go-rust,D:\helm_clones_github\roman009__go-rust\infrastructure\infra\kafka,Error: no repository definition for https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'
https://github.com/sujan060/testing111,sujan060/testing111,D:\helm_clones_github\sujan060__testing111\packages\helm-charts\attestation-service,Error: no repository definition for @stable. Please add them via 'helm repo add'
https://github.com/tetratelabs/helm-charts,tetratelabs/helm-charts,D:\helm_clones_github\tetratelabs__helm-charts\charts\demos\istio-monitoring-demo,"Error: no repository definition for https://grafana.github.io/helm-charts, https://prometheus-community.github.io/helm-charts, https://prometheus-community.github.io/helm-charts. Please add the missing repos via 'helm repo add'"
https://github.com/wiredquill/ai-demos,wiredquill/ai-demos,D:\helm_clones_github\wiredquill__ai-demos\charts\hr-assistant,Error: the lock file (Chart.lock) is out of sync with the dependencies file (Chart.yaml). Please update the dependencies with 'helm dependency update'
https://github.com/Ammar-Taimoori/speechmatics-helm-chart,Ammar-Taimoori/speechmatics-helm-chart,D:\helm_clones_github\Ammar-Taimoori__speechmatics-helm-chart\1.2.0\sm-realtime,Error: directory D:\helm_clones_github\Ammar-Taimoori__speechmatics-helm-chart\1.2.0\sm-proxy not found
https://github.com/ArieLevs/Kubernetes-Helm-Charts,ArieLevs/Kubernetes-Helm-Charts,D:\helm_clones_github\ArieLevs__Kubernetes-Helm-Charts\charts\nalkinscloud,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://helm.releases.hashicorp.com, https://arielevs.github.io/Kubernetes-Helm-Charts/, https://arielevs.github.io/Kubernetes-Helm-Charts/. Please add the missing repos via 'helm repo add'"
https://github.com/Arthur-B-DevOps/old_helm_charts,Arthur-B-DevOps/old_helm_charts,D:\helm_clones_github\Arthur-B-DevOps__old_helm_charts\charts\Old_charts\charts\incubator\distribution,"level=INFO msg=""warning: a valid Helm v3 hash was not found. Checking against Helm v2 hash...""
Error: no repository definition for https://kubernetes-charts.storage.googleapis.com/, https://kubernetes-charts.storage.googleapis.com/. Please add the missing repos via 'helm repo add'"
https://github.com/ArvigEnterprises/integration-tests-bluegreen,ArvigEnterprises/integration-tests-bluegreen,D:\helm_clones_github\ArvigEnterprises__integration-tests-bluegreen\.helm\charts\arvigtestcluster334d\canary,Error: directory D:\helm_clones_github\ArvigEnterprises__integration-tests-bluegreen\.helm\charts\arvigtestcluster334d\laravel-library not found
https://github.com/AssemblerBossss/tools_and_manuals,AssemblerBossss/tools_and_manuals,D:\helm_clones_github\AssemblerBossss__tools_and_manuals\kubernetes\18.templating\wordpress,"Error: no repository definition for https://charts.bitnami.com/bitnami, https://charts.bitnami.com/bitnami. Please add the missing repos via 'helm repo add'"
